,times,counts,rates
24,-2,0,0.0
25,-1,0,0.0
26,0,0,0.0
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0003545558410252991
3,4,0,0.0037236951791884197
4,5,0,0.02018887103390399
5,6,0,0.060780825154331676
6,7,1,0.1251377782648012
7,8,0,0.21957474350882264
8,9,2,0.3492670558509282
9,10,3,0.45844136446314854
10,11,2,0.5742200810005967
11,12,4,0.777359647642629
12,13,5,1.0383420585701038
13,14,6,1.2200934428708472
14,15,9,1.1423103548965081
15,16,8,0.8267107736567508
16,17,3,0.6220861197257851
17,18,0,0.7740556142016009
18,19,9,1.0503531035147726
19,20,6,1.0381051494295217
20,21,7,0.8111794717871782
21,22,3,0.5928710670809821
22,23,2,0.4275315742296763
23,24,5,0.2563448078337565
27,25,0,0.09521509276980585
28,26,0,0.01575275149333473
29,27,0,0.0
30,28,0,0.0
31,29,0,0.0
32,30,0,0.0
