,times,counts,rates
44,-21,0,1.0029151031016062e-08
45,-20,0,2.116835949066692e-07
46,-19,0,2.7740586942352784e-06
47,-18,0,2.6590104725618163e-05
48,-17,0,0.0002003304753195248
49,-16,0,0.0012261444327069787
50,-15,0,0.0062092731395524
51,-14,0,0.026310265501726163
52,-13,0,0.09402205892644845
53,-12,0,0.285110800735711
54,-11,0,0.7372919925275572
55,-10,0,1.6339081334684071
56,-9,0,3.1214662586338946
57,-8,0,5.180864804749126
58,-7,0,7.545223440821513
59,-6,0,9.759922865681498
60,-5,0,11.372705417074188
61,-4,0,12.127541161781078
0,-3,3,12.040936053644558
1,-2,4,11.340149149840128
2,-1,7,10.329678633342494
3,0,7,9.272927104354947
4,1,12,8.338802930924052
5,2,10,7.607098956987305
6,3,12,7.098066059925799
7,4,9,6.795807559428694
8,5,11,6.650520677139099
9,6,10,6.56790472116304
10,7,6,6.418450701401809
11,8,13,6.09088954978393
12,9,5,5.562172338556557
13,10,9,4.92066838482894
14,11,2,4.317494846806197
15,12,8,3.8893778075026524
16,13,9,3.709144462890951
17,14,8,3.7763692253412398
18,15,5,4.027475508077407
19,16,7,4.347768108946225
20,17,4,4.585833286746583
21,18,3,4.58814355226247
22,19,4,4.266913951850579
23,20,4,3.667132615808924
24,21,5,2.96229317358317
25,22,1,2.3585837444869027
26,23,4,1.9799397182775693
27,24,7,1.8221113314104038
28,25,8,1.7910127525509203
29,26,4,1.77794242135578
30,27,2,1.7217260997211168
31,28,1,1.628280409331811
32,29,1,1.53895545966542
33,30,1,1.47414765563383
34,31,4,1.4053208775680992
35,32,5,1.2819642267684084
36,33,1,1.0810449304842735
62,34,0,0.8268236054143651
63,35,0,0.568950784351124
37,36,3,0.34991511154096616
38,37,2,0.1899437000321246
39,38,2,0.08914472831523698
64,39,0,0.03522339830141069
40,40,1,0.01137192084524337
41,41,2,0.0029009566984500392
65,42,0,0.0005604453444153274
42,43,1,7.677870558054617e-05
66,44,0,6.577462732221054e-06
67,45,0,2.6185401854060713e-07
68,46,0,1.6448303950793061e-09
