times,counts
-3,2
-2,6
-1,9
0,7
1,8
2,20
3,14
4,16
5,11
6,13
7,19
8,17
9,9
10,30
11,20
12,18
13,19
14,19
15,21
16,22
17,22
18,16
19,28
20,25
21,12
22,20
23,22
24,27
25,33
26,28
27,18
28,24
29,25
30,23
31,29
32,21
33,24
34,23
35,21
36,36
37,32
38,31
39,32
40,36
41,41
42,28
43,27
44,42
45,44
46,44
47,48
48,44
49,44
50,37
51,48
52,57
53,52
54,48
55,52
56,53
57,40
58,47
59,43
60,62
61,39
62,40
63,40
64,54
65,50
66,42
67,47
68,40
69,46
70,41
71,53
72,36
73,54
74,44
75,50
76,43
77,41
78,47
79,43
80,39
81,44
82,66
83,44
84,49
85,35
86,60
87,72
88,45
89,58
90,47
91,51
92,47
93,58
94,40
95,61
96,58
97,47
98,54
99,37
100,26
101,24
102,9
103,6
104,4
105,1
106,1
107,1
