times,counts
0,16
1,11
2,19
3,16
4,16
5,9
6,10
7,12
8,16
9,19
10,19
11,20
12,22
13,17
14,16
15,21
16,20
17,18
18,24
19,23
20,14
21,19
22,30
23,26
24,24
25,25
26,27
27,28
28,33
29,26
30,35
31,28
32,30
33,23
34,20
35,35
36,29
37,32
38,33
39,28
40,33
41,36
42,33
43,27
44,27
45,27
46,30
47,29
48,30
49,22
50,31
51,35
52,19
53,26
54,34
55,36
56,27
57,27
58,23
59,28
60,27
61,31
62,26
63,32
64,24
65,21
66,27
67,18
68,26
69,18
70,26
71,20
72,27
73,19
74,22
75,11
76,20
77,15
78,21
79,30
80,21
81,23
82,17
83,23
84,18
85,15
86,13
87,20
88,17
89,28
90,24
91,19
92,20
93,27
94,22
95,23
96,22
97,27
98,24
99,23
100,22
